cap,count,freq,post_p
00,13,0.008024691358024692,0.008241758241758242
01,22,0.013580246913580247,0.013186813186813187
02,24,0.014814814814814815,0.014285714285714285
03,16,0.009876543209876543,0.00989010989010989
04,22,0.013580246913580247,0.013186813186813187
05,20,0.012345679012345678,0.012087912087912088
06,17,0.010493827160493827,0.010439560439560439
07,12,0.007407407407407408,0.007692307692307693
08,15,0.009259259259259259,0.00934065934065934
09,13,0.008024691358024692,0.008241758241758242
10,9,0.005555555555555556,0.006043956043956044
11,14,0.008641975308641974,0.008791208791208791
12,17,0.010493827160493827,0.010439560439560439
13,18,0.011111111111111112,0.01098901098901099
14,15,0.009259259259259259,0.00934065934065934
15,11,0.006790123456790123,0.007142857142857143
16,15,0.009259259259259259,0.00934065934065934
17,11,0.006790123456790123,0.007142857142857143
18,13,0.008024691358024692,0.008241758241758242
19,15,0.009259259259259259,0.00934065934065934
20,14,0.008641975308641974,0.008791208791208791
21,13,0.008024691358024692,0.008241758241758242
22,18,0.011111111111111112,0.01098901098901099
23,17,0.010493827160493827,0.010439560439560439
24,15,0.009259259259259259,0.00934065934065934
25,19,0.011728395061728396,0.011538461538461539
26,17,0.010493827160493827,0.010439560439560439
27,26,0.016049382716049384,0.015384615384615385
28,16,0.009876543209876543,0.00989010989010989
29,14,0.008641975308641974,0.008791208791208791
30,12,0.007407407407407408,0.007692307692307693
31,13,0.008024691358024692,0.008241758241758242
32,11,0.006790123456790123,0.007142857142857143
33,18,0.011111111111111112,0.01098901098901099
34,19,0.011728395061728396,0.011538461538461539
35,17,0.010493827160493827,0.010439560439560439
36,20,0.012345679012345678,0.012087912087912088
37,8,0.0049382716049382715,0.005494505494505495
38,16,0.009876543209876543,0.00989010989010989
39,15,0.009259259259259259,0.00934065934065934
40,11,0.006790123456790123,0.007142857142857143
41,14,0.008641975308641974,0.008791208791208791
42,19,0.011728395061728396,0.011538461538461539
43,12,0.007407407407407408,0.007692307692307693
44,18,0.011111111111111112,0.01098901098901099
45,17,0.010493827160493827,0.010439560439560439
46,19,0.011728395061728396,0.011538461538461539
47,15,0.009259259259259259,0.00934065934065934
48,16,0.009876543209876543,0.00989010989010989
49,22,0.013580246913580247,0.013186813186813187
50,15,0.009259259259259259,0.00934065934065934
51,8,0.0049382716049382715,0.005494505494505495
52,15,0.009259259259259259,0.00934065934065934
53,18,0.011111111111111112,0.01098901098901099
54,12,0.007407407407407408,0.007692307692307693
55,11,0.006790123456790123,0.007142857142857143
56,13,0.008024691358024692,0.008241758241758242
57,15,0.009259259259259259,0.00934065934065934
58,15,0.009259259259259259,0.00934065934065934
59,10,0.006172839506172839,0.006593406593406593
60,17,0.010493827160493827,0.010439560439560439
61,15,0.009259259259259259,0.00934065934065934
62,20,0.012345679012345678,0.012087912087912088
63,16,0.009876543209876543,0.00989010989010989
64,20,0.012345679012345678,0.012087912087912088
65,18,0.011111111111111112,0.01098901098901099
66,18,0.011111111111111112,0.01098901098901099
67,14,0.008641975308641974,0.008791208791208791
68,19,0.011728395061728396,0.011538461538461539
69,22,0.013580246913580247,0.013186813186813187
70,17,0.010493827160493827,0.010439560439560439
71,20,0.012345679012345678,0.012087912087912088
72,17,0.010493827160493827,0.010439560439560439
73,15,0.009259259259259259,0.00934065934065934
74,18,0.011111111111111112,0.01098901098901099
75,22,0.013580246913580247,0.013186813186813187
76,13,0.008024691358024692,0.008241758241758242
77,20,0.012345679012345678,0.012087912087912088
78,15,0.009259259259259259,0.00934065934065934
79,20,0.012345679012345678,0.012087912087912088
80,15,0.009259259259259259,0.00934065934065934
81,14,0.008641975308641974,0.008791208791208791
82,10,0.006172839506172839,0.006593406593406593
83,24,0.014814814814814815,0.014285714285714285
84,16,0.009876543209876543,0.00989010989010989
85,10,0.006172839506172839,0.006593406593406593
86,15,0.009259259259259259,0.00934065934065934
87,23,0.014197530864197531,0.013736263736263736
88,21,0.012962962962962963,0.012637362637362638
89,14,0.008641975308641974,0.008791208791208791
90,19,0.011728395061728396,0.011538461538461539
91,17,0.010493827160493827,0.010439560439560439
92,17,0.010493827160493827,0.010439560439560439
93,25,0.015432098765432098,0.014835164835164835
94,12,0.007407407407407408,0.007692307692307693
95,25,0.015432098765432098,0.014835164835164835
96,11,0.006790123456790123,0.007142857142857143
97,29,0.017901234567901235,0.01703296703296703
98,7,0.004320987654320987,0.004945054945054945
99,15,0.009259259259259259,0.00934065934065934
